問題,可能原因,簡易故障排除,所屬類別
我的電腦開不了機了，怎麼辦？,"電源插頭未接好。
電腦電源開關未開。",請先確認以下步驟:確認電源插頭是否插好，並檢查插座是否有電-> 確認電腦本身的電源開關是否打開-> 如果以上兩點無問題，嘗試換一個電源插座，或者使用其他電器來測試該插座是否正常運作。,電腦
我的電腦開機後，發出奇怪的噪音，聽起來像是風扇或硬碟的聲音，該怎麼處理？,電腦風扇卡到髒污;硬碟馬達或磁盤異常,"確認電腦的風扇是否有異常聲音，如果是，可能需要清潔風扇或更換損壞的風扇 ，使用硬碟檢測工具來檢查硬碟的健康狀態，如果硬碟出現問題，請及早備份資料並更換硬碟，確保電腦放置在通風良好的位置，避免過熱可能導致硬體元件運轉不穩定或產生噪音。
",電腦
我的螢幕無畫面，怎麼辦？,"線材鬆脫。        
開關按鍵未按。",查看電源線兩端有無鬆脫;電源燈號未亮，開關可能未開;D-SUB線兩端未插緊;報修EFMS系統派請廠商處理;電話撥打8471聯絡資訊處處理。,電腦
我的螢幕無電源反應，怎麼辦？,線材鬆脫,檢查螢幕電源線是否插緊，或連接的電源是否正常,電腦
我的電腦出現C槽系統碟空間不足，怎麼辦？,"存放過多的資料在桌面  
公用電腦太多無用帳號",請查看電腦是否有過多檔案(容量大)放置空間桌面或是文件夾，請搬移至D槽 ;若該電腦為共用電腦，可報修EFMS通知廠商協助清除無用帳號,電腦
公司官網網頁內的資訊有誤或無法正常開啟，怎麼辦？,市府網站異常，,請電洽10#8763商業發展組陳怡誠,網站
我的印表機無法列印。,"印表機沒有開啟。
印表機沒有連接到電腦。
印表機沒有墨水或紙張。",請檢查您的印表機是否開啟;請檢查您的印表機是否連接到您的電腦;請檢查您的印表機是否有墨水或碳粉;請嘗試重新啟動您的印表機。,週邊
我的表機無法列印或卡紙，怎麼辦？,進出紙機構異常,請直接EFMS報修工單,週邊
事務機螢幕顯示:需要盡快更換感光滾筒、加熱器即將用盡(機型::AL-MX300)，怎麼辦？,"耗材故障  
碳粉量不足使用",感光滾筒為晶片壽命用盡，請上EFMS報修。,週邊
我的滑鼠、鍵盤故障，怎麼辦？,"鍵帽故障  
滾輪或按鍵故障  
電池沒電",若為無線裝置請先更換電池測試，若仍異常直接EFMS報修工單。,週邊
我無法使用密碼登入作業系統，該怎麼處理？  作業系統登入錯誤,"不小心輸入大小寫有誤的密碼。
可能網路連線不正常。","請嘗試以下方法：確保您輸入的密碼正確，特別注意大寫和小寫字母的差異;嘗試使用""Caps Lock""鍵切換大小寫，然後再次輸入密碼;確認您的網路連線是否正常，有時候網路問題可能導致無法驗證身分
",Windows
我輸入密碼無法登入，怎麼辦？ 我要變更開機密碼  變更開機密碼 變更密碼,忘記密碼,http://apmgt.trtc.com.tw/ad/ 電腦開機密碼變更不需填單，請自行至網頁申請(以Chrome開啟http://apmgt.trtc.com.tw/ad/，每日限用一次，之後需隔24小時後才可再變更密碼),Windows
我一直登入失敗，怎麼辦？ 登入一直失敗   輸入密碼一直失敗,"忘記密碼   
輸入時大小寫鍵切換錯誤造成鎖定  
鍵盤故障",登入失敗超過五次，系統則會鎖定20分鐘;忘記密碼，則需登入 http://apmgt.trtc.com.tw/ad/ ，重新設置密碼，一天一次;設備故障請至EFMS系統報修,Windows
我的電腦使用到一半無法使用任何網頁，怎麼辦？,"忘記密碼  
密碼到期",密碼剛好到期，需於鍵盤CTRL+ALT+DEL 進行變更密碼(密碼期限為90天)，若不行登入 http://apmgt.trtc.com.tw/ad/ ，重新設置密碼，一天一次。,Windows
新進同仁和留職停薪復職同仁的AD預設密碼，怎麼辦？,復職未申請相關系統開通,5碼員編@Ui,Windows
車站門禁管制Qrcode(google)無法使用，怎麼辦？,google表單異常,請洽貴單位段辦,其他
